aufgabe,schwierigkeit,instruction,input,output
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Sophie Fischer, 42 J. Tatzeit: 30.01.2026, 07:08–07:08 Uhr. Tatort: Parkplatz Pforzheim. Delikt: Körperverletzung. Schaden: Prellungen. Täterbeschreibung: männlich, ca. 30 Jahre, dunkle Kleidung.","Am 30.01.2026 in der Zeit von 07:08 Uhr bis 07:08 Uhr kam es im Bereich Parkplatz in Pforzheim zu einem Körperverletzung zum Nachteil des Geschädigten Sophie Fischer, geb. xx.xx.1984. Der Geschädigte erlitt Prellungen. Der Täter wird als männlich, ca. 30 Jahre alt, bekleidet mit dunkler Kleidung, beschrieben. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Laura Hoffmann, 62 J. Tatzeit: 04.03.2026, 06:26–07:26 Uhr. Tatort: Supermarkt Ludwigsburg. Delikt: Diebstahl aus Kfz. Schaden: 1200 EUR. Täterbeschreibung: unbekannt.","Am 04.03.2026 in der Zeit von 06:26 Uhr bis 07:26 Uhr kam es im Bereich Supermarkt in Ludwigsburg zu einem Diebstahl aus Kfz zum Nachteil des Geschädigten Laura Hoffmann, geb. xx.xx.1964. Der entstandene Schaden beläuft sich auf ca. 1200 EUR. Die Täterbeschreibung ist derzeit unbekannt. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Jonas Keller, 42 J. Tatzeit: 26.03.2026, 05:54–07:54 Uhr. Tatort: Bahnhof Pforzheim. Delikt: Sachbeschädigung. Schaden: 900 EUR. Täterbeschreibung: männlich, ca. 30 Jahre, dunkle Kleidung.","Am 26.03.2026 in der Zeit von 05:54 Uhr bis 07:54 Uhr kam es im Bereich Bahnhof in Pforzheim zu einem Sachbeschädigung zum Nachteil des Geschädigten Jonas Keller, geb. xx.xx.1984. Der entstandene Schaden beläuft sich auf ca. 900 EUR. Der Täter wird als männlich, ca. 30 Jahre alt, bekleidet mit dunkler Kleidung, beschrieben. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Laura Hoffmann, 67 J. Tatzeit: 21.02.2026, 01:17–01:17 Uhr. Tatort: Diskothek Stuttgart. Delikt: Betrug. Schaden: 450 EUR. Täterbeschreibung: unbekannt.","Am 21.02.2026 in der Zeit von 01:17 Uhr bis 01:17 Uhr kam es im Bereich Diskothek in Stuttgart zu einem Betrug zum Nachteil des Geschädigten Laura Hoffmann, geb. xx.xx.1959. Der entstandene Schaden beläuft sich auf ca. 450 EUR. Die Täterbeschreibung ist derzeit unbekannt. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Daniel Braun, 23 J. Tatzeit: 19.03.2026, 14:03–16:03 Uhr. Tatort: Parkplatz Karlsruhe. Delikt: Körperverletzung. Schaden: Prellungen. Täterbeschreibung: männlich, ca. 30 Jahre, dunkle Kleidung.","Am 19.03.2026 in der Zeit von 14:03 Uhr bis 16:03 Uhr kam es im Bereich Parkplatz in Karlsruhe zu einem Körperverletzung zum Nachteil des Geschädigten Daniel Braun, geb. xx.xx.2003. Der Geschädigte erlitt Prellungen. Der Täter wird als männlich, ca. 30 Jahre alt, bekleidet mit dunkler Kleidung, beschrieben. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Laura Hoffmann, 28 J. Tatzeit: 01.05.2026, 16:42–17:42 Uhr. Tatort: Parkplatz Karlsruhe. Delikt: Körperverletzung. Schaden: Prellungen. Täterbeschreibung: mehrere Personen, nähere Beschreibung unbekannt.","Am 01.05.2026 in der Zeit von 16:42 Uhr bis 17:42 Uhr kam es im Bereich Parkplatz in Karlsruhe zu einem Körperverletzung zum Nachteil des Geschädigten Laura Hoffmann, geb. xx.xx.1998. Der Geschädigte erlitt Prellungen. Die Tat wurde durch mehrere bislang unbekannte Personen begangen. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Sophie Fischer, 61 J. Tatzeit: 22.03.2026, 02:09–04:09 Uhr. Tatort: Supermarkt Karlsruhe. Delikt: Sachbeschädigung. Schaden: 900 EUR. Täterbeschreibung: unbekannt.","Am 22.03.2026 in der Zeit von 02:09 Uhr bis 04:09 Uhr kam es im Bereich Supermarkt in Karlsruhe zu einem Sachbeschädigung zum Nachteil des Geschädigten Sophie Fischer, geb. xx.xx.1965. Der entstandene Schaden beläuft sich auf ca. 900 EUR. Die Täterbeschreibung ist derzeit unbekannt. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Anna Schneider, 51 J. Tatzeit: 23.03.2026, 06:28–08:28 Uhr. Tatort: Bahnhof Karlsruhe. Delikt: Ladendiebstahl. Schaden: 80 EUR. Täterbeschreibung: unbekannt.","Am 23.03.2026 in der Zeit von 06:28 Uhr bis 08:28 Uhr kam es im Bereich Bahnhof in Karlsruhe zu einem Ladendiebstahl zum Nachteil des Geschädigten Anna Schneider, geb. xx.xx.1975. Der entstandene Schaden beläuft sich auf ca. 80 EUR. Die Täterbeschreibung ist derzeit unbekannt. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Anna Schneider, 40 J. Tatzeit: 05.04.2026, 22:38–23:38 Uhr. Tatort: Supermarkt Karlsruhe. Delikt: Körperverletzung. Schaden: Prellungen. Täterbeschreibung: unbekannt.","Am 05.04.2026 in der Zeit von 22:38 Uhr bis 23:38 Uhr kam es im Bereich Supermarkt in Karlsruhe zu einem Körperverletzung zum Nachteil des Geschädigten Anna Schneider, geb. xx.xx.1986. Der Geschädigte erlitt Prellungen. Die Täterbeschreibung ist derzeit unbekannt. Die Ermittlungen dauern an."
Erstanzeige formulieren,mittel,Formuliere eine sachliche Erstanzeige auf Basis der gegebenen Angaben. Verwende den dienstlichen Schreibstil der Polizei BW. Alle genannten Namen sind fiktiv.,"Geschädigter: Max Müller, 25 J. Tatzeit: 23.01.2026, 13:09–14:09 Uhr. Tatort: Wohnanschrift Pforzheim. Delikt: Körperverletzung. Schaden: Prellungen. Täterbeschreibung: unbekannt.","Am 23.01.2026 in der Zeit von 13:09 Uhr bis 14:09 Uhr kam es im Bereich Wohnanschrift in Pforzheim zu einem Körperverletzung zum Nachteil des Geschädigten Max Müller, geb. xx.xx.2001. Der Geschädigte erlitt Prellungen. Die Täterbeschreibung ist derzeit unbekannt. Die Ermittlungen dauern an."
