case_id,deliktart,tatmittel,tatort_stadt,tatzeit,geraet_typ,mobilfunk_provider,cell_id,ip_adresse,schadenshoehe_eur,anzahl_verdaechtige,vorstrafen_bekannt,kommunikation_events,digitale_spuren,gps_daten_vorhanden,video_cctv,osint_hinweise,risiko_klasse
BW-2025-00000,Diebstahl,Smartphone,Pforzheim,2025-04-06 06:00:00,Android Smartphone,Vodafone,13905,34.252.105.90,5235.21,2,2,13,0,0,1,0,mittel
BW-2025-00001,Raub,Smartphone,Heidelberg,2025-05-31 11:00:00,Desktop PC,1&1,65392,98.26.168.118,4255.69,3,1,17,1,1,0,0,mittel
BW-2025-00002,Einbruchdiebstahl,Fahrzeug,Freiburg,2025-09-17 08:00:00,iPhone,Telekom,15695,197.207.179.208,386.05,1,0,29,0,1,1,1,niedrig
BW-2025-00003,Diebstahl,Messer,Karlsruhe,2025-09-04 21:00:00,Desktop PC,O2,47930,31.109.63.49,4088.83,1,1,14,0,0,0,0,niedrig
BW-2025-00004,Diebstahl,Messer,Pforzheim,2025-04-22 00:00:00,Tablet,O2,99593,176.229.165.171,0.0,2,1,4,1,1,0,1,mittel
BW-2025-00005,Einbruchdiebstahl,Fahrzeug,Mannheim,2025-07-04 06:00:00,Tablet,1&1,14207,217.23.123.78,9595.42,1,0,20,0,1,0,0,mittel
BW-2025-00006,Sachbeschädigung,Online-Plattform,Karlsruhe,2025-05-26 03:00:00,Android Smartphone,O2,44718,46.190.208.29,14517.7,2,0,15,1,1,1,0,mittel
BW-2025-00007,Cybercrime,Messer,Ulm,2025-04-05 10:00:00,Laptop,Vodafone,30033,171.160.77.196,0.0,2,0,10,1,0,0,0,niedrig
BW-2025-00008,Sachbeschädigung,Laptop,Ulm,2025-12-28 05:00:00,Tablet,1&1,94012,98.21.189.111,298.86,3,0,7,1,0,0,1,niedrig
BW-2025-00009,Cybercrime,Messer,Mannheim,2025-06-29 19:00:00,Tablet,Telekom,30032,106.184.209.108,292.32,4,0,48,0,0,1,0,niedrig
BW-2025-00010,Einbruchdiebstahl,Smartphone,Freiburg,2025-03-18 08:00:00,Tablet,Telekom,41571,156.62.77.226,598.58,2,1,5,1,1,0,0,niedrig
BW-2025-00011,Diebstahl,keines,Karlsruhe,2025-03-29 15:00:00,Desktop PC,Vodafone,37760,149.15.78.251,0.0,3,2,48,1,0,1,1,mittel
BW-2025-00012,Raub,Online-Plattform,Ulm,2025-12-20 07:00:00,Laptop,1&1,18392,97.140.198.155,6323.1,2,0,1,1,0,0,0,mittel
BW-2025-00013,Raub,Fahrzeug,Stuttgart,2025-06-06 06:00:00,iPhone,Telekom,77391,71.237.223.45,0.0,1,0,17,0,0,1,0,niedrig
BW-2025-00014,Körperverletzung,Fahrzeug,Mannheim,2025-06-15 21:00:00,Desktop PC,1&1,22704,179.179.23.250,927.13,3,1,27,1,1,0,0,mittel
BW-2025-00015,Drogenhandel,Messer,Ulm,2025-03-09 04:00:00,Tablet,Telekom,42591,60.12.12.0,4458.38,1,0,12,0,1,1,0,niedrig
BW-2025-00016,Körperverletzung,Brecheisen,Ulm,2025-11-12 19:00:00,Android Smartphone,O2,16630,177.242.247.184,5619.55,3,2,34,0,0,1,0,mittel
BW-2025-00017,Betrug,Laptop,Heidelberg,2025-11-28 12:00:00,Android Smartphone,1&1,31579,108.4.97.227,0.0,1,2,0,1,0,1,0,mittel
BW-2025-00018,Sachbeschädigung,Online-Plattform,Heilbronn,2025-11-29 05:00:00,Laptop,1&1,17665,159.69.40.192,2200.21,1,1,47,0,0,1,0,niedrig
BW-2025-00019,Betrug,Phishing-Mail,Stuttgart,2025-12-10 06:00:00,iPhone,1&1,18981,163.84.56.129,6756.58,2,1,4,0,0,0,0,mittel
BW-2025-00020,Raub,Messer,Karlsruhe,2025-01-28 03:00:00,Desktop PC,Vodafone,36772,182.115.41.91,7378.34,2,2,45,0,1,1,1,mittel
BW-2025-00021,Drogenhandel,Fahrzeug,Pforzheim,2025-07-24 19:00:00,Tablet,Vodafone,70068,170.4.74.237,0.0,3,0,36,1,1,0,0,niedrig
BW-2025-00022,Diebstahl,Laptop,Heidelberg,2025-04-01 10:00:00,Desktop PC,O2,47353,51.98.24.184,0.0,3,2,28,1,0,0,1,mittel
BW-2025-00023,Cybercrime,Smartphone,Pforzheim,2025-06-30 13:00:00,iPhone,Vodafone,46930,165.214.32.171,9650.52,1,0,13,0,0,0,1,mittel
BW-2025-00024,Drogenhandel,Fahrzeug,Pforzheim,2025-06-21 10:00:00,Desktop PC,1&1,15778,11.232.94.206,2045.27,1,0,21,0,0,1,1,niedrig
BW-2025-00025,Einbruchdiebstahl,Online-Plattform,Mannheim,2025-01-07 14:00:00,Tablet,1&1,58393,160.31.88.208,7119.31,2,1,35,0,0,0,0,mittel
BW-2025-00026,Einbruchdiebstahl,Messer,Mannheim,2025-09-06 22:00:00,iPhone,O2,97416,37.80.174.195,3436.85,3,2,22,0,1,0,0,mittel
BW-2025-00027,Sachbeschädigung,Brecheisen,Heidelberg,2025-10-09 11:00:00,Android Smartphone,Vodafone,97806,199.44.187.13,1845.16,1,3,15,0,0,1,1,mittel
BW-2025-00028,Cybercrime,Brecheisen,Karlsruhe,2025-11-18 07:00:00,Tablet,Telekom,50001,221.14.172.23,0.0,2,0,50,0,0,1,1,niedrig
BW-2025-00029,Raub,Fahrzeug,Stuttgart,2025-08-13 02:00:00,Android Smartphone,1&1,94080,141.104.105.11,1457.78,1,2,25,1,0,1,1,mittel
BW-2025-00030,Drogenhandel,Smartphone,Karlsruhe,2025-07-01 05:00:00,Laptop,Vodafone,51114,122.183.130.113,0.0,3,2,38,0,0,1,1,mittel
BW-2025-00031,Diebstahl,Messer,Heidelberg,2025-10-25 16:00:00,Laptop,Telekom,19171,181.11.123.20,0.0,2,1,21,0,0,1,1,niedrig
BW-2025-00032,Drogenhandel,Laptop,Pforzheim,2025-10-06 19:00:00,Desktop PC,O2,35144,118.162.94.254,3271.04,4,0,42,1,1,1,0,mittel
BW-2025-00033,Sachbeschädigung,Brecheisen,Pforzheim,2025-07-27 10:00:00,Tablet,Telekom,70946,124.24.227.100,5149.89,1,0,28,1,0,1,1,mittel
BW-2025-00034,Raub,keines,Mannheim,2025-12-18 21:00:00,iPhone,O2,39444,217.122.231.246,2843.8,1,1,12,1,0,0,1,mittel
BW-2025-00035,Einbruchdiebstahl,Smartphone,Stuttgart,2025-02-19 17:00:00,Android Smartphone,1&1,74799,113.79.166.99,8142.7,2,0,15,1,1,0,1,mittel
BW-2025-00036,Einbruchdiebstahl,Smartphone,Karlsruhe,2025-05-01 01:00:00,Tablet,Vodafone,69829,45.34.130.225,0.0,3,2,29,1,0,0,0,mittel
