case_id,deliktart,tatmittel,tatort_stadt,tatort_urban,tatzeit,tatzeit_nacht,geraet_typ,mobilfunk_provider,cell_id,ip_adresse,schadenshoehe_eur,anzahl_verdaechtige,vorstrafen_bekannt,kommunikation_events,netzwerk_score,vorplanungszeit_h,digitale_spuren,gps_daten_vorhanden,video_cctv,osint_hinweise,risiko_klasse
BW-2025-00000,Raub,keines,Pforzheim,0,2025-01-07 09:00:00,0,Tablet,O2,67898,99.118.253.9,3745.07,2,2,33,0.34,8.51,1,1,0,0,mittel
BW-2025-00001,Cybercrime,Messer,Pforzheim,0,2025-05-16 23:00:00,1,Tablet,O2,59986,157.105.134.152,1672.15,1,1,26,0.675,3.01,1,1,0,0,mittel
BW-2025-00002,Drogenhandel,Online-Plattform,Pforzheim,0,2025-07-07 09:00:00,0,iPhone,1&1,40162,166.104.156.136,3033.33,1,1,30,0.393,4.09,0,0,1,1,mittel
BW-2025-00003,Drogenhandel,Fahrzeug,Heidelberg,0,2025-04-04 08:00:00,0,Desktop PC,O2,14373,159.94.242.228,785.51,3,4,32,0.68,14.59,0,0,1,1,mittel
BW-2025-00004,Drogenhandel,Brecheisen,Karlsruhe,1,2025-10-11 15:00:00,0,Laptop,O2,79579,139.117.159.31,2099.62,3,0,34,0.396,11.2,0,0,0,1,mittel
BW-2025-00005,Cybercrime,Brecheisen,Pforzheim,0,2025-08-20 05:00:00,1,Tablet,O2,39571,184.35.141.54,1478.14,1,0,5,0.178,3.31,0,1,0,0,niedrig
BW-2025-00006,Sachbeschädigung,Phishing-Mail,Karlsruhe,1,2025-06-30 12:00:00,0,Tablet,Telekom,86619,108.138.227.5,3313.3,1,1,32,0.61,14.27,0,1,1,1,mittel
BW-2025-00007,Drogenhandel,Laptop,Heidelberg,0,2025-08-12 22:00:00,1,Tablet,Telekom,95097,115.134.19.219,3327.96,2,1,22,0.638,11.97,0,0,1,1,mittel
BW-2025-00008,Diebstahl,Brecheisen,Stuttgart,1,2025-12-03 07:00:00,0,iPhone,O2,60940,127.33.255.70,6511.12,3,2,29,0.366,3.19,0,0,0,0,mittel
BW-2025-00009,Drogenhandel,Messer,Mannheim,1,2025-12-01 01:00:00,1,Tablet,Telekom,38477,124.129.141.207,0.0,1,0,19,0.345,3.53,1,1,0,1,niedrig
BW-2025-00010,Körperverletzung,Fahrzeug,Freiburg,1,2025-09-02 20:00:00,0,iPhone,O2,26011,221.254.47.222,12577.33,4,1,57,0.945,33.69,0,1,1,0,hoch
BW-2025-00011,Körperverletzung,Laptop,Heidelberg,0,2025-02-04 12:00:00,0,Desktop PC,Telekom,18992,206.225.90.133,2281.24,2,1,17,0.537,6.3,1,0,0,0,mittel
BW-2025-00012,Raub,Fahrzeug,Heidelberg,0,2025-01-02 22:00:00,1,Laptop,Vodafone,32871,39.36.34.14,0.0,2,2,11,0.331,2.47,1,0,0,1,niedrig
BW-2025-00013,Betrug,Brecheisen,Stuttgart,1,2025-08-10 00:00:00,1,Laptop,Vodafone,26614,200.225.60.27,0.0,4,0,42,0.681,44.04,0,0,1,0,hoch
BW-2025-00014,Sachbeschädigung,Laptop,Karlsruhe,1,2025-09-05 03:00:00,1,Tablet,1&1,96363,144.125.211.179,6950.29,1,1,21,0.464,12.07,0,1,0,0,mittel
BW-2025-00015,Cybercrime,keines,Stuttgart,1,2025-10-02 04:00:00,1,iPhone,1&1,19632,31.174.175.92,1787.26,1,5,25,0.43,4.47,1,0,1,1,mittel
BW-2025-00016,Drogenhandel,Brecheisen,Karlsruhe,1,2025-08-10 23:00:00,1,Android Smartphone,O2,22999,214.8.88.125,1234.45,1,0,15,0.228,4.09,1,1,1,1,niedrig
BW-2025-00017,Diebstahl,Fahrzeug,Ulm,0,2025-10-10 11:00:00,0,Tablet,Vodafone,22463,91.3.43.53,0.0,1,0,7,0.181,1.22,1,1,1,1,niedrig
BW-2025-00018,Sachbeschädigung,Phishing-Mail,Pforzheim,0,2025-11-20 18:00:00,0,Laptop,Vodafone,66606,35.184.114.69,2275.32,1,2,34,0.399,11.36,0,0,0,0,mittel
BW-2025-00019,Drogenhandel,Brecheisen,Stuttgart,1,2025-03-25 10:00:00,0,Desktop PC,O2,47700,164.180.121.212,345.0,1,1,6,0.251,0.26,1,1,1,0,niedrig
BW-2025-00020,Cybercrime,Phishing-Mail,Karlsruhe,1,2025-04-16 15:00:00,0,Desktop PC,Vodafone,82910,105.24.123.36,10911.02,3,1,55,0.994,19.2,1,0,0,1,hoch
BW-2025-00021,Diebstahl,Online-Plattform,Heidelberg,0,2025-07-02 13:00:00,0,Tablet,Telekom,54541,100.220.171.208,1485.69,2,0,19,0.341,2.35,0,0,1,1,niedrig
BW-2025-00022,Betrug,Brecheisen,Mannheim,1,2025-02-17 12:00:00,0,Desktop PC,1&1,59308,118.122.36.96,2931.9,2,2,20,0.578,13.3,0,0,0,0,mittel
BW-2025-00023,Körperverletzung,Phishing-Mail,Mannheim,1,2025-08-10 10:00:00,0,Laptop,O2,90981,23.189.60.3,141.95,1,1,8,0.294,0.87,0,0,0,0,niedrig
BW-2025-00024,Diebstahl,Online-Plattform,Heilbronn,1,2025-10-29 18:00:00,0,Tablet,1&1,55242,121.14.209.232,248.35,2,1,16,0.321,1.05,1,1,0,0,niedrig
BW-2025-00025,Diebstahl,Online-Plattform,Heilbronn,1,2025-02-01 00:00:00,1,Desktop PC,O2,36794,88.41.209.171,16489.28,3,1,31,0.999,46.69,0,1,0,0,hoch
BW-2025-00026,Raub,Brecheisen,Pforzheim,0,2025-03-23 21:00:00,0,Laptop,O2,26932,108.85.70.103,4500.73,2,0,23,0.44,11.71,0,1,1,0,mittel
BW-2025-00027,Raub,Phishing-Mail,Karlsruhe,1,2025-10-25 19:00:00,0,Tablet,Telekom,85465,120.229.147.50,3926.46,3,0,22,0.614,11.03,0,1,0,1,mittel
BW-2025-00028,Sachbeschädigung,Messer,Pforzheim,0,2025-01-15 05:00:00,1,iPhone,1&1,21551,122.204.87.221,1600.79,4,4,64,0.861,18.52,1,0,1,1,hoch
BW-2025-00029,Diebstahl,Fahrzeug,Ulm,0,2025-12-24 16:00:00,0,Desktop PC,1&1,39041,96.67.252.60,215.19,2,0,8,0.21,3.72,0,1,1,1,niedrig
BW-2025-00030,Einbruchdiebstahl,Laptop,Karlsruhe,1,2025-08-27 12:00:00,0,Desktop PC,Vodafone,29194,76.135.34.43,1560.16,3,2,28,0.536,14.75,1,0,0,0,mittel
BW-2025-00031,Raub,Brecheisen,Mannheim,1,2025-12-04 07:00:00,0,iPhone,Vodafone,29786,123.148.75.219,1346.31,1,0,9,0.251,2.88,1,1,1,1,niedrig
BW-2025-00032,Diebstahl,keines,Heilbronn,1,2025-02-08 08:00:00,0,Laptop,O2,69233,20.160.160.246,890.39,2,1,17,0.607,3.52,1,0,1,1,mittel
BW-2025-00033,Betrug,Phishing-Mail,Pforzheim,0,2025-12-13 03:00:00,1,iPhone,Telekom,84928,177.222.209.216,2982.63,2,2,19,0.671,8.14,1,1,0,1,mittel
BW-2025-00034,Raub,Phishing-Mail,Heilbronn,1,2025-02-12 05:00:00,1,Desktop PC,Vodafone,76132,176.104.149.198,528.52,2,0,11,0.181,2.43,1,0,1,0,niedrig
BW-2025-00035,Einbruchdiebstahl,Smartphone,Heidelberg,0,2025-12-24 18:00:00,0,Tablet,1&1,60779,115.165.28.104,987.89,1,2,32,0.546,14.88,0,1,1,1,mittel
BW-2025-00036,Drogenhandel,Smartphone,Freiburg,1,2025-03-06 12:00:00,0,iPhone,O2,53694,31.221.80.97,9232.83,2,5,55,0.924,42.95,1,1,1,0,hoch
BW-2025-00037,Einbruchdiebstahl,Phishing-Mail,Pforzheim,0,2025-02-27 20:00:00,0,Tablet,Vodafone,97833,190.236.185.81,3035.9,2,3,30,0.32,13.64,1,1,1,0,mittel
BW-2025-00038,Diebstahl,Messer,Freiburg,1,2025-07-30 20:00:00,0,iPhone,O2,35166,68.254.185.156,841.01,1,0,19,0.111,2.33,0,0,1,1,niedrig
BW-2025-00039,Einbruchdiebstahl,Brecheisen,Karlsruhe,1,2025-12-13 13:00:00,0,Laptop,Telekom,30218,52.137.8.128,317.26,2,1,34,0.316,6.64,0,1,0,1,mittel
BW-2025-00040,Einbruchdiebstahl,Brecheisen,Heilbronn,1,2025-09-06 16:00:00,0,iPhone,1&1,40671,147.180.244.116,1033.85,3,5,59,0.816,34.22,0,1,1,1,hoch
BW-2025-00041,Raub,Online-Plattform,Heilbronn,1,2025-10-28 18:00:00,0,Android Smartphone,O2,31241,220.31.200.192,0.0,2,1,19,0.374,3.97,1,1,1,1,mittel
BW-2025-00042,Raub,Brecheisen,Pforzheim,0,2025-09-11 09:00:00,0,iPhone,1&1,31012,80.213.166.141,16125.16,2,2,61,0.82,37.15,0,0,1,0,hoch
BW-2025-00043,Körperverletzung,Brecheisen,Ulm,0,2025-11-04 23:00:00,1,iPhone,Vodafone,61964,139.131.137.200,3956.46,4,5,45,0.663,14.57,1,0,1,0,hoch
BW-2025-00044,Drogenhandel,Fahrzeug,Ulm,0,2025-06-03 06:00:00,0,iPhone,O2,29142,46.57.186.25,392.0,1,0,18,0.357,3.52,0,1,0,1,niedrig
BW-2025-00045,Betrug,Online-Plattform,Heilbronn,1,2025-11-03 05:00:00,1,Android Smartphone,1&1,38266,49.70.234.249,1609.6,2,2,19,0.459,10.39,0,0,0,1,mittel
BW-2025-00046,Sachbeschädigung,Laptop,Pforzheim,0,2025-03-25 04:00:00,1,Android Smartphone,O2,18232,39.97.46.194,2339.93,2,2,15,0.516,11.21,0,0,1,1,mittel
BW-2025-00047,Körperverletzung,Smartphone,Heidelberg,0,2025-10-21 00:00:00,1,Android Smartphone,O2,34551,181.20.60.216,3851.65,2,5,15,0.483,9.55,0,1,0,1,mittel
BW-2025-00048,Diebstahl,Phishing-Mail,Karlsruhe,1,2025-09-24 13:00:00,0,Desktop PC,Telekom,43246,202.80.35.244,2772.32,2,2,27,0.386,7.53,1,0,1,1,mittel
BW-2025-00049,Betrug,Phishing-Mail,Karlsruhe,1,2025-03-12 18:00:00,0,Laptop,Vodafone,81567,97.171.8.122,3165.45,1,1,24,0.309,12.77,1,0,0,1,mittel
BW-2025-00050,Einbruchdiebstahl,keines,Heilbronn,1,2025-02-13 01:00:00,1,Android Smartphone,Vodafone,15741,213.134.34.37,6511.05,3,6,38,0.827,31.89,1,0,1,0,hoch
BW-2025-00051,Raub,Smartphone,Freiburg,1,2025-11-20 04:00:00,1,Laptop,1&1,56789,210.229.59.187,2077.13,2,1,19,0.395,11.16,1,0,0,1,mittel
